year,numbirth_all_1519_whitenh,numbirth_all_1519_blacknh,numbirth_all_1519_hisp,numbirth_lesshs_hispforb,numbirth_lesshs_hisp_2024,numbirth_lesshs_blacknh_2024,numbirth_lesshs_whitenh_2024,numbirth_lesshs_hisp_4044,numbirth_lesshs_hisp_3539,numbirth_lesshs_hisp_3034,numbirth_lesshs_hisp_2529,numbirth_lesshs_blacknh_4044,numbirth_lesshs_blacknh_3539,numbirth_lesshs_blacknh_3034,numbirth_lesshs_blacknh_2529,numbirth_lesshs_whitenh_4044,numbirth_lesshs_whitenh_3539,numbirth_lesshs_whitenh_3034,numbirth_lesshs_whitenh_2529,numbirth_hsgrad_hispforb,numbirth_hsgrad_hisp_2024,numbirth_hsgrad_blacknh_2024,numbirth_hsgrad_whitenh_2024,numbirth_hsgrad_hisp_4044,numbirth_hsgrad_hisp_3539,numbirth_hsgrad_hisp_3034,numbirth_hsgrad_hisp_2529,numbirth_hsgrad_blacknh_4044,numbirth_hsgrad_blacknh_3539,numbirth_hsgrad_blacknh_3034,numbirth_hsgrad_blacknh_2529,numbirth_hsgrad_whitenh_4044,numbirth_hsgrad_whitenh_3539,numbirth_hsgrad_whitenh_3034,numbirth_hsgrad_whitenh_2529,numbirth_somecoll_hispforb,numbirth_somecoll_hisp_2024,numbirth_somecoll_blacknh_2024,numbirth_somecoll_whitenh_2024,numbirth_somecoll_hisp_4044,numbirth_somecoll_hisp_3539,numbirth_somecoll_hisp_3034,numbirth_somecoll_hisp_2529,numbirth_somecoll_blacknh_4044,numbirth_somecoll_blacknh_3539,numbirth_somecoll_blacknh_3034,numbirth_somecoll_blacknh_2529,numbirth_somecoll_whitenh_4044,numbirth_somecoll_whitenh_3539,numbirth_somecoll_whitenh_3034,numbirth_somecoll_whitenh_2529,numbirth_colgrad_whitenh_2024,numbirth_colgrad_blacknh_2024,numbirth_colgrad_hisp_2024,numbirth_colgrad_whitenh_2529,numbirth_colgrad_blacknh_2529,numbirth_colgrad_hisp_2529,numbirth_colgrad_whitenh_3034,numbirth_colgrad_blacknh_3034,numbirth_colgrad_hisp_3034,numbirth_colgrad_whitenh_3539,numbirth_colgrad_blacknh_3539,numbirth_colgrad_hisp_3539,numbirth_colgrad_whitenh_4044,numbirth_colgrad_blacknh_4044,numbirth_colgrad_hisp_4044,numbirthalleduc,numbirthalleduc_2044,numbirth_witheduc_2044
2001,190161,108252,130007,305920,123946,44577,100152,6152,26590,58409,98767,1210,4952,9086,18222,2145,9178,20212,40665,133010,89383,92933,245088,3191,17225,40986,67132,3415,15172,30597,51117,12791,62020,127603,181362,49063,34099,45933,135883,2003,10618,24180,36004,2846,13260,26439,39603,13774,68958,147864,180883,37739,8137,5895,214996,22407,21512,325224,23853,23869,157281,13144,12141,31270,2962,2283,3756242,3327822,3289338
2002,179511,101494,127900,312213,125301,43840,99902,6514,27535,61710,101530,1272,4748,9048,18531,2250,8789,19797,40244,139021,93509,90716,241792,3427,18300,42059,70034,3512,14770,29917,50951,12727,58252,120325,175417,51216,35309,44919,135262,2102,11232,25232,37330,2911,12919,26484,39086,13850,67332,145071,177591,38319,8035,6354,217517,22165,22943,330607,25009,26100,160646,13524,13020,32385,3152,2483,3741131,3332226,3295608
2003,172620,97509,128524,322683,127847,43008,100349,6822,29292,66334,105389,1241,4684,9260,19025,2357,8619,19356,41163,145030,96296,89069,239472,3719,19250,43707,72864,3563,14553,29165,50696,12437,55376,113719,173155,53699,37608,46334,139694,2422,11759,26954,39127,2952,13113,26861,39405,14945,67456,146520,182068,39396,8288,6687,227095,22819,24554,342460,26499,29169,169340,14487,14085,34220,3410,2855,3798600,3399947,3364369
2004,168795,97290,133044,336831,129777,43204,97954,7356,31635,71335,109459,1328,4693,9610,20766,2374,8526,19198,42637,148380,98854,85582,230563,3885,20055,45370,74274,3362,13817,27925,50740,12283,51181,102817,167666,56523,39705,49440,145702,2613,12666,28200,41320,3242,13206,27492,41914,15064,68400,145480,186913,39582,8103,6690,230578,22583,24965,332742,26009,29881,173761,14347,15122,35100,3478,3076,3809790,3410661,3375600
2005,165005,96813,136906,352823,132886,41451,94727,7785,34115,76133,115301,1444,4644,9698,21510,2287,8523,18281,43148,151677,99486,84348,226074,4238,20349,45197,75940,3545,13626,27087,51532,11352,48403,94792,167062,60783,44975,52447,152752,2935,13944,31105,46201,3318,13387,28159,44401,15290,68490,142739,194985,38775,8150,6465,233640,23431,25254,322320,25851,31473,177447,14849,16060,34806,3682,3352,3836715,3437991,3405647
2006,169729,103725,145669,383146,147398,43322,96365,8816,38913,84463,128068,1466,5185,10870,24257,2456,9565,20012,48369,144708,94633,86724,224822,3933,18966,41911,71953,3545,13480,27531,53407,10804,46047,88304,166557,66375,51299,58436,165100,3313,15556,33976,51658,3419,14616,29600,49301,15015,71056,141281,206860,39062,8368,6233,239859,24873,25056,313324,26309,31654,179784,15766,16801,34639,3605,3340,3952541,3533418,3501301
2007,172941,106143,148563,355021,130219,40599,89577,8365,37623,80329,117941,1346,4928,10490,23135,2100,8642,18389,46232,167022,109097,89329,224620,4681,22116,49258,83381,3596,13911,28100,55180,10383,43214,86998,167108,68284,54819,60063,170562,3337,16269,36166,55331,3453,14817,30612,51509,14751,70027,141724,214428,38906,8335,6505,244591,25782,26691,314991,26782,32409,177292,16215,18064,34362,3802,3590,3987824,3560177,3527072
2008,168684,104559,144914,336889,119472,38933,84694,8845,38141,77848,110848,1439,5034,10643,22799,2073,8215,18710,45392,164592,106467,88133,215749,4770,22013,48604,82197,3398,13139,27698,52963,9388,39565,83678,160670,72958,56762,61026,171035,3539,16862,37264,57551,3491,15141,31542,52911,14502,67815,141128,216332,37544,8223,6313,244924,26171,26526,315272,26942,33205,169713,16479,18652,34702,3859,3664,3919849,3501692,3470608
2009,159579,98448,136263,230976,83174,23512,53530,7233,29603,57378,78637,976,3493,7154,14030,1438,5768,13209,30050,112129,78321,47936,131177,3661,16934,36151,61095,1938,7629,15897,29275,5457,21555,49575,95086,52520,47433,38842,121028,3011,14330,30889,48075,2318,10019,20963,34405,9863,44304,99424,153934,21148,3622,3992,151420,14221,20069,197338,15542,25460,100815,9571,14476,21775,2346,2862,3809926,3415636,2294367
2010,144102,88329,121798,228092,79439,27347,57480,7807,32242,59766,78548,1145,3960,8660,15294,1697,6329,15023,32529,114037,79389,55758,137802,4013,17936,38328,62123,2322,8699,18707,32629,5848,23125,55930,102673,56139,50963,47519,134006,3330,15711,34073,51761,2918,12087,26104,41216,11129,49087,114664,175063,23283,4272,4327,178179,17278,21525,239363,20642,28049,115589,12293,16145,25967,3149,3332,3686365,3332136,2555572
